City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Cap Malheureux,MU,-19.9842,57.6142,73.89,78,26,1.01,scattered clouds
213,Klaksvik,FO,62.2266,-6.589,47.32,71,23,9.98,few clouds
214,Bartlesville,US,36.7473,-95.9808,77.56,78,75,10.36,broken clouds
215,Ferry Pass,US,30.5102,-87.2125,88.09,51,1,9.22,clear sky
216,Omuta,JP,33.0333,130.45,63.9,93,55,2.24,broken clouds
217,Samana,DO,19.2056,-69.3369,82.62,83,40,11.5,scattered clouds
218,Muli,MV,2.9167,73.5667,84.16,74,98,19.86,overcast clouds
219,Faya,SA,18.3851,42.4509,69.91,34,26,3.53,scattered clouds
220,Bonavista,CA,48.6499,-53.1147,36.12,55,100,23.87,overcast clouds
221,Lagos,NG,6.5833,3.75,82.72,83,14,4.5,few clouds
222,Conde,BR,-7.2597,-34.9075,80.06,80,40,10.11,scattered clouds
223,Kunming,CN,25.0389,102.7183,57.13,100,90,6.71,overcast clouds
224,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,69,100,16.04,overcast clouds
225,Mocajuba,BR,-2.5842,-49.5072,82.17,76,100,2.57,overcast clouds
226,Kieta,PG,-6.2167,155.6333,78.53,87,97,7.07,light rain
227,Kayerkan,RU,69.3497,87.7602,26.87,96,100,20.58,snow
228,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,85.73,67,99,2.46,light rain
229,New Norfolk,AU,-42.7826,147.0587,54.75,64,100,3.4,overcast clouds
230,Faanui,PF,-16.4833,-151.75,81.54,75,93,11.07,overcast clouds
231,Tazovskiy,RU,67.4667,78.7,25.38,88,8,12.5,clear sky
232,Mitu,CO,1.1983,-70.1733,84.2,72,53,0.78,broken clouds
233,Moron,AR,-34.6534,-58.6198,64.09,62,0,10.54,clear sky
234,Sola,VU,-13.8833,167.55,77.74,79,91,19.01,overcast clouds
235,Marystown,CA,47.1666,-55.1483,42.35,51,100,12.15,overcast clouds
236,Bethel,US,41.3712,-73.414,70.09,52,75,8.05,broken clouds
237,Goundi,TD,9.3627,17.366,90.99,32,41,4.05,scattered clouds
238,Thinadhoo,MV,0.5333,72.9333,84.67,70,100,16.15,overcast clouds
239,Xichang,CN,27.8964,102.2634,61.23,83,100,1.23,overcast clouds
240,Vestmanna,FO,62.1564,-7.1664,45.52,82,75,8.14,broken clouds
241,Boguchany,RU,58.3814,97.4531,46.8,83,100,11.86,light rain
242,Sami,GM,13.5833,-15.2,94.93,19,4,6.98,clear sky
243,Uspenka,UA,48.3903,39.1619,58.19,96,87,7.7,overcast clouds
244,Nioro,GM,13.35,-15.75,85.84,41,5,12.3,clear sky
245,College,US,64.8569,-147.8028,66.38,32,20,1.01,few clouds
246,Poum,NC,-20.2333,164.0167,72.75,56,31,19.64,scattered clouds
247,Ketchikan,US,55.3422,-131.6461,55.87,62,1,13.8,light rain
248,Freeport,US,40.6576,-73.5832,68.0,48,1,3.0,clear sky
249,Mvangue,CM,2.9667,11.5167,70.45,95,56,1.66,light rain
250,Polignano A Mare,IT,40.9959,17.2159,76.71,53,30,8.12,scattered clouds
251,Kapiri Mposhi,ZM,-13.9652,28.6809,55.65,71,34,6.98,scattered clouds
252,Talaya,RU,61.3833,152.75,45.07,53,78,1.01,broken clouds
253,Padang,ID,-0.9492,100.3543,77.81,88,99,3.67,overcast clouds
254,Lompoc,US,34.6391,-120.4579,90.1,59,1,16.11,clear sky
255,Beringovskiy,RU,63.05,179.3167,33.31,92,100,12.12,snow
256,Saint Anthony,US,45.0205,-93.218,86.32,66,20,10.2,few clouds
257,Ndende,GA,-2.4008,11.3581,75.27,95,100,2.28,light rain
258,Mogadishu,SO,2.0371,45.3438,79.0,82,25,17.76,light rain
259,Malakal,SS,9.5334,31.6605,82.4,64,93,9.4,overcast clouds
260,Lewisporte,CA,49.2499,-55.0482,41.13,56,99,10.76,overcast clouds
261,Asau,RO,46.4333,26.4,55.96,80,74,0.81,broken clouds
262,Mungwi,ZM,-10.1732,31.3694,59.14,70,81,5.12,broken clouds
263,Port Blair,IN,11.6667,92.75,83.34,82,100,23.31,overcast clouds
264,Macamic,CA,48.7502,-78.9996,68.23,37,31,10.13,scattered clouds
265,Upernavik,GL,72.7868,-56.1549,33.35,79,57,6.42,broken clouds
266,Richards Bay,ZA,-28.783,32.0377,65.55,77,0,12.66,clear sky
267,Tiksi,RU,71.6872,128.8694,35.49,70,97,7.76,overcast clouds
268,Hithadhoo,MV,-0.6,73.0833,84.34,69,100,15.86,overcast clouds
269,Cayenne,GF,4.9333,-52.3333,77.04,91,75,10.36,very heavy rain
270,Aksu,CN,41.1231,80.2644,68.68,21,100,5.3,overcast clouds
271,Grand Gaube,MU,-20.0064,57.6608,73.8,78,21,1.01,few clouds
272,Mogapi,BW,-22.323,27.8349,55.74,61,0,4.47,clear sky
273,San Jose,US,37.3394,-121.895,85.77,38,40,1.01,scattered clouds
274,Chapais,CA,49.7834,-74.8492,60.58,22,0,12.3,clear sky
275,Opuwo,NA,-18.0607,13.84,64.54,36,0,7.7,clear sky
276,Stirling,GB,56.119,-3.9368,50.16,91,99,3.0,overcast clouds
277,La Asuncion,VE,11.0333,-63.8628,74.93,73,53,21.03,broken clouds
278,Murmashi,RU,68.8154,32.8115,34.21,64,0,4.47,clear sky
279,Senno,RU,59.5336,33.9167,43.27,95,6,5.53,clear sky
280,Borzna,UA,51.2546,32.4269,50.54,85,2,5.03,clear sky
281,Najran,SA,17.4924,44.1277,84.85,29,54,6.2,broken clouds
282,Karratha,AU,-20.7377,116.8463,69.46,40,59,14.43,broken clouds
283,Bonthe,SL,7.5264,-12.505,81.91,81,66,8.3,broken clouds
